Fri Feb 07 2020 22:17:05 GMT-0500 (Eastern Standard Time) - Run Time: 3081ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1500-1900
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
          56          79        135
          56          80         21
          56          81         49
          56          82         16
          56          84         73
          56          85         10
          56          89         67
          56          90        117
          57           1         58
          57          14         22
          57          15        135
          57          16         19
          57          17         77
          57          18         64
          57          20         63
          57          21        204
          57          22        119
          57          23         32
          57          24         36
          57          25        299
          57          26        102
          57          30         96
          57          31         26
          57          34        121
          57          35        127
          57          36         72
          57          37         66
          57          38        119
          57          40        140
          57          41         85
          57          42        138
          57          43         77
          57          44         68
          57          45        144
          57          46         86
          57          47         26
          57          50        159
          57          51          9
          57          52        331
          57          53        101
          57          54         57
          57          55        208
          57          56         85
          57          57        161
          57          58         34
          57          59         57
          57          60        265
          57          61        162
          57          62        159
          57          63        245
          57          64        381
          57          65        298
          57          66        330
          57          67        106
          57          68         41
          57          69         38
